"sNR","mode","MHz","rxTime","senderDXCC","flowStartSeconds","senderCallsign","senderLocator","receiverCallsign","receiverLocator","receiverAntennaInformation","senderDXCCADIF","submode"
-3,"FT8","14.074682","2025-09-23 16:24:14","Argentina",1758644654,"LU7DZ","GF11FX","LU7UMJ","FF73lo",,100,
-8,"FT8","14.074502","2025-09-23 16:46:43","Argentina",1758646003,"LU7DZ","GF11FX","LU7UMJ","FF73lo",,100,
-13,"FT8","14.074496","2025-09-23 17:12:44","Argentina",1758647564,"LU7DZ","GF11FX","LU7UMJ","FF73lo",,100,
-15,"FT8","14.074634","2025-09-23 17:33:14","Argentina",1758648794,"LU7DZ","GF11FX","LW5EAE","FF94su",,100,
-7,"FT8","14.074488","2025-09-23 17:38:44","Argentina",1758649124,"LU7DZ","GF11FX","LU7UMJ","FF73lo",,100,
-15,"FT8","14.074616","2025-09-23 17:40:30","Argentina",1758649230,"LU7DZ","GF11FX","CX8BIT","GF15wc","MLA-30+ | Common Mode Choke | Distill AM | HF LPF",100,
-19,"FT8","14.075046","2025-09-23 18:01:57","Argentina",1758650517,"LU1XJJ","FE72BF","LU7DZ","GF11FX",,100,
-7,"FT8","14.074483","2025-09-23 18:02:14","Argentina",1758650534,"LU7DZ","GF11FX","LU7UMJ","FF73lo",,100,
-16,"FT8","14.075417","2025-09-23 18:10:12","Argentina",1758651012,"LU6ERO","FF95MK","LU7DZ","GF11FX",,100,
-17,"FT8","14.074610","2025-09-23 18:18:59","Argentina",1758651539,"LU7DZ","GF11FX","CX3VB","GF27wp","Yagi 3 ele",100,
-14,"FT8","14.074486","2025-09-23 18:22:59","Argentina",1758651779,"LU7DZ","GF11FX","LU7UMJ","FF73lo",,100,
-20,"FT8","14.074635","2025-09-23 18:27:59","Argentina",1758652079,"LU7DZ","GF11FX","LW5EAE","FF94su",,100,
-19,"FT8","14.074611","2025-09-23 18:31:57","Argentina",1758652317,"LU7DZ","GF11FX","LU9DLJ","GF05TG",,100,
-20,"FT8","14.074609","2025-09-23 18:31:59","Argentina",1758652319,"LU7DZ","GF11FX","LU2PWY","FF58SJ","Dipole",100,
-9,"FT8","14.074620","2025-09-23 18:35:59","Argentina",1758652559,"LU7DZ","GF11FX","LU6HR","FF87wg",,100,
-19,"FT8","14.074604","2025-09-23 18:35:59","Argentina",1758652559,"LU7DZ","GF11FX","LU4FQ","FF97PC",,100,
-16,"FT8","14.074610","2025-09-23 18:55:59","Argentina",1758653759,"LU7DZ","GF11FX","CX3VB","GF27wp","Yagi 3 ele",100,
-11,"FT8","14.075330","2025-09-23 19:04:42","Brazil",1758654282,"PY1ZA","GG87jb29ib","LU7DZ","GF11FX",,108,
-14,"FT8","14.074512","2025-09-23 19:16:00","Argentina",1758654960,"LU7DZ","GF11FX","LU7UMJ","FF73lo",,100,
-17,"FT8","14.074612","2025-09-23 19:17:29","Argentina",1758655049,"LU7DZ","GF11FX","CX3VB","GF27wp","Yagi 3 ele",100,
-16,"FT8","14.074609","2025-09-23 20:11:59","Argentina",1758658319,"LU7DZ","GF11FX","CX3VB","GF27wp","Yagi 3 ele",100,
-5,"FT8","14.075001","2025-09-23 20:20:44","Uruguay",1758658844,"CX2SA","GF18ao46","LU7DZ","GF11FX",,144,
-20,"FT8","14.074627","2025-09-23 20:32:59","Argentina",1758659579,"LU7DZ","GF11FX","LU5EW","GF12fa",,100,
-18,"FT8","14.090684","2025-09-23 20:44:58","Argentina",1758660298,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-18,"FT8","14.074630","2025-09-23 20:53:59","Argentina",1758660839,"LU7DZ","GF11FX","LU5EW","GF12fa",,100,
-16,"FT8","14.090687","2025-09-23 21:04:58","Argentina",1758661498,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-13,"FT8","14.075209","2025-09-23 21:07:12","Brazil",1758661632,"PY5TD","GG54JK","LU7DZ","GF11FX",,108,
-18,"FT8","14.075330","2025-09-23 21:09:42","Chile",1758661782,"CE3UOB","FF46KO","LU7DZ","GF11FX",,112,
-12,"FT8","14.075383","2025-09-23 21:15:57","Brazil",1758662157,"PY2SAO","GG66PR","LU7DZ","GF11FX",,108,
-6,"FT8","14.074818","2025-09-23 21:16:27","Argentina",1758662187,"LU5EW","GF12fa","LU7DZ","GF11FX",,100,
-18,"FT8","14.074630","2025-09-23 21:18:44","Argentina",1758662324,"LU7DZ","GF11FX","LU5EW","GF12fa",,100,
-20,"FT8","14.074631","2025-09-23 21:19:13","Argentina",1758662353,"LU7DZ","GF11FX","LU8VB","FF60ex",,100,
-11,"FT8","14.075128","2025-09-23 21:20:27","Japan",1758662427,"JA7ZF","QM09br","LU7DZ","GF11FX",,339,
-15,"FT8","14.091686","2025-09-23 21:24:43","Argentina",1758662683,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-19,"FT8","14.075439","2025-09-23 21:34:12","Brazil",1758663252,"PY5TD","GG54JK","LU7DZ","GF11FX",,108,
-20,"FT8","14.074605","2025-09-23 21:48:27","Argentina",1758664107,"LU7DZ","GF11FX","LU5HDL","FF78WM",,100,
-15,"FT8","14.074686","2025-09-23 21:54:28","Argentina",1758664468,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-14,"FT8","14.075426","2025-09-23 21:57:42","Brazil",1758664662,"PY5TD","GG54JK","LU7DZ","GF11FX",,108,
-17,"FT8","14.075210","2025-09-23 22:13:42","Chile",1758665622,"CE3UOB","FF46KO","LU7DZ","GF11FX",,112,
-15,"FT8","14.074686","2025-09-23 22:14:28","Argentina",1758665668,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-18,"FT8","14.075326","2025-09-23 22:15:12","Brazil",1758665712,"PP5VZ","GG52rj47","LU7DZ","GF11FX",,108,
-14,"FT8","14.075468","2025-09-23 22:29:12","Argentina",1758666552,"LU1VDF","FE48GV","LU7DZ","GF11FX",,100,
-20,"FT8","14.074601","2025-09-23 22:31:28","Argentina",1758666688,"LU7DZ","GF11FX","LU1VDF","FE48GV",,100,
-9,"FT8","14.075052","2025-09-23 22:33:42","Argentina",1758666822,"LU1VDN","FF61AB","LU7DZ","GF11FX",,100,
-17,"FT8","14.074598","2025-09-23 22:47:30","Argentina",1758667650,"LU7DZ","GF11FX","LU1VDN","FF61AB",,100,
-12,"FT8","14.075470","2025-09-23 22:50:12","Argentina",1758667812,"LU1VDF","FE48GV","LU7DZ","GF11FX",,100,
-21,"FT8","14.074618","2025-09-23 23:03:30","Argentina",1758668610,"LU7DZ","GF11FX","PY1ED","GG87kc",,100,
-17,"FT8","14.075224","2025-09-23 23:07:42","United States",1758668862,"NW2M","FM19kd41","LU7DZ","GF11FX",,291,
-17,"FT8","14.074601","2025-09-23 23:09:28","Argentina",1758668968,"LU7DZ","GF11FX","LU1VDF","FE48GV",,100,
-12,"FT8","14.075469","2025-09-23 23:11:42","Argentina",1758669102,"LU1VDF","FE48GV","LU7DZ","GF11FX",,100,
-15,"FT8","14.074845","2025-09-23 23:17:57","Brazil",1758669477,"PP5FZ","GG42uf","LU7DZ","GF11FX",,108,
-18,"FT8","14.075027","2025-09-23 23:18:29","Brazil",1758669509,"PP5VZ","GG52rj47","LU7DZ","GF11FX",,108,
-19,"FT8","14.074669","2025-09-23 23:49:44","Argentina",1758671384,"LU7DZ","GF11FX","PP5KJ","GG52qe",,100,
-14,"FT8","14.075436","2025-09-23 23:54:12","Brazil",1758671652,"PY5TD","GG54JK","LU7DZ","GF11FX",,108,
-5,"FT8","14.075026","2025-09-24 00:04:27","Canada",1758672267,"VE3XN","EN93LM","LU7DZ","GF11FX",,1,
-16,"FT8","14.074670","2025-09-24 00:10:14","Argentina",1758672614,"LU7DZ","GF11FX","PP5KJ","GG52qe",,100,
-18,"FT8","14.074688","2025-09-24 00:51:13","Argentina",1758675073,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-13,"FT8","14.075410","2025-09-24 01:07:57","Argentina",1758676077,"LW2DJM","GF12EA","LU7DZ","GF11FX",,100,
-20,"FT8","14.074687","2025-09-24 01:13:14","Argentina",1758676394,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-17,"FT8","14.075452","2025-09-24 03:12:59","European Russia",1758683579,"RA6ABC","KN96qh","LU7DZ","GF11FX",,54,
-16,"FT8","14.074685","2025-09-24 03:17:43","Argentina",1758683863,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-16,"FT8","14.074688","2025-09-24 03:37:43","Argentina",1758685063,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-17,"FT8","14.075453","2025-09-24 03:38:59","European Russia",1758685139,"RA6ABC","KN96qh","LU7DZ","GF11FX",,54,
-18,"FT8","14.074685","2025-09-24 03:57:43","Argentina",1758686263,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-15,"FT8","14.075339","2025-09-24 07:10:27","Japan",1758697827,"JF2KOZ","PM84pq20","LU7DZ","GF11FX",,339,
-21,"FT8","14.074615","2025-09-24 07:21:44","Argentina",1758698504,"LU7DZ","GF11FX","JA5CEX","PM74HA","4EL",100,
-18,"FT8","14.075441","2025-09-24 07:38:59","Japan",1758699539,"JF1KMC","PM95gp44tt","LU7DZ","GF11FX",,339,
-19,"FT8","14.074614","2025-09-24 09:40:30","Argentina",1758706830,"LU7DZ","GF11FX","PP5ZX","GG43no","R-8 vertical",100,
-13,"FT8","14.074672","2025-09-24 10:31:44","Argentina",1758709904,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-16,"FT8","14.074612","2025-09-24 10:44:29","Argentina",1758710669,"LU7DZ","GF11FX","PY2TB","GG76eo",10,100,
-16,"FT8","14.074838","2025-09-24 10:54:57","Brazil",1758711297,"PY1KV","GG87fg57","LU7DZ","GF11FX",,108,
-16,"FT8","14.074678","2025-09-24 11:05:44","Argentina",1758711944,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-20,"FT8","14.074678","2025-09-24 11:26:14","Argentina",1758713174,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-10,"FT8","14.075162","2025-09-24 11:47:42","Argentina",1758714462,"LU9HCO","FF78UR","LU7DZ","GF11FX",,100,
-18,"FT8","14.074675","2025-09-24 11:47:59","Argentina",1758714479,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-14,"FT8","14.075159","2025-09-24 12:10:42","Argentina",1758715842,"LU9HCO","FF78UR","LU7DZ","GF11FX",,100,
-17,"FT8","14.074674","2025-09-24 12:12:13","Argentina",1758715933,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-16,"FT8","14.074676","2025-09-24 12:37:43","Argentina",1758717463,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-20,"FT8","14.074638","2025-09-24 12:59:43","Argentina",1758718783,"LU7DZ","GF11FX","LU2HC","FF76tv",,100,
-17,"FT8","14.074672","2025-09-24 13:08:44","Argentina",1758719324,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-16,"FT8","14.074675","2025-09-24 13:32:44","Argentina",1758720764,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-15,"FT8","14.074677","2025-09-24 13:58:13","Argentina",1758722293,"LU7DZ","GF11FX","PY1KV","GG87fg57",,100,
-16,"FT8","14.074579","2025-09-24 15:06:11","Argentina",1758726371,"LU7DZ","GF11FX","LW1DYN","GF05PK",,100,
-16,"FT8","14.074607","2025-09-24 15:13:13","Argentina",1758726793,"LU7DZ","GF11FX","CX5CDV","GF15vc",,100,
-16,"FT8","14.074579","2025-09-24 15:26:11","Argentina",1758727571,"LU7DZ","GF11FX","LW1DYN","GF05PK",,100,
-15,"FT8","14.074613","2025-09-24 15:30:30","Argentina",1758727830,"LU7DZ","GF11FX","CX8BIT","GF15wc","MLA-30+ | Common Mode Choke | Distill AM | HF LPF",100,
-22,"FT8","14.074608","2025-09-24 15:44:14","Argentina",1758728654,"LU7DZ","GF11FX","CX5CDV","GF15vc",,100,
-14,"FT8","14.075607","2025-09-24 15:45:44","Argentina",1758728744,"LU7DZ","GF11FX","LU9DMG","GF05om",,100,
-14,"FT8","14.074579","2025-09-24 15:46:11","Argentina",1758728771,"LU7DZ","GF11FX","LW1DYN","GF05PK",,100,
-17,"FT8","14.074611","2025-09-24 15:48:44","Argentina",1758728924,"LU7DZ","GF11FX","LU3AAK","GF05SK",,100,
-19,"FT8","14.075609","2025-09-24 16:05:44","Argentina",1758729944,"LU7DZ","GF11FX","LU9DMG","GF05om",,100,
-13,"FT8","14.074582","2025-09-24 16:07:11","Argentina",1758730031,"LU7DZ","GF11FX","LW1DYN","GF05PK",,100,
-16,"FT8","14.074613","2025-09-24 16:21:11","Argentina",1758730871,"LU7DZ","GF11FX","LU3AAK","GF05SK",,100,
-18,"FT8","14.075607","2025-09-24 16:25:44","Argentina",1758731144,"LU7DZ","GF11FX","LU9DMG","GF05om",,100,
-10,"FT8","14.075607","2025-09-24 16:52:14","Argentina",1758732734,"LU7DZ","GF11FX","LU9DMG","GF05om",,100,
-14,"FT8","14.074610","2025-09-24 16:53:13","Argentina",1758732793,"LU7DZ","GF11FX","CX3VB","GF27wp","Yagi 3 ele",100,
-10,"FT8","14.074610","2025-09-24 16:57:44","Argentina",1758733064,"LU7DZ","GF11FX","CX2ACB","GF25cf","Directional",100,
-16,"FT8","14.074609","2025-09-24 17:04:11","Argentina",1758733451,"LU7DZ","GF11FX","LU3AAK","GF05SK",,100,
-19,"FT8","14.075609","2025-09-24 17:12:14","Argentina",1758733934,"LU7DZ","GF11FX","LU9DMG","GF05om",,100,
-15,"FT8","14.074611","2025-09-24 17:29:41","Argentina",1758734981,"LU7DZ","GF11FX","LU3AAK","GF05SK",,100,
-18,"FT8","14.075607","2025-09-24 17:32:14","Argentina",1758735134,"LU7DZ","GF11FX","LU9DMG","GF05om",,100,
-21,"FT8","14.074672","2025-09-24 18:02:14","Argentina",1758736934,"LU7DZ","GF11FX","PP5KJ","GG52qe",,100,
-12,"FT8","14.074613","2025-09-24 18:46:30","Argentina",1758739590,"LU7DZ","GF11FX","CX8BIT","GF15wc","MLA-30+ | Common Mode Choke | Distill AM | HF LPF",100,
-18,"FT8","14.074610","2025-09-24 18:47:42","Argentina",1758739662,"LU7DZ","GF11FX","LU3AAK","GF05SK",,100,
-16,"FT8","14.074604","2025-09-24 19:12:41","Argentina",1758741161,"LU7DZ","GF11FX","CE3VJE","FF46RM",,100,
-18,"FT8","14.074601","2025-09-24 19:23:11","Argentina",1758741791,"LU7DZ","GF11FX","LU4FQ","FF97PC",,100,
-9,"FT8","14.075243","2025-09-24 19:31:27","Argentina",1758742287,"LU4FQ","FF97PC","LU7DZ","GF11FX",,100,
-13,"FT8","14.074608","2025-09-24 19:34:41","Argentina",1758742481,"LU7DZ","GF11FX","LU2PWY","FF58SJ","Dipole",100,
-13,"FT8","14.075467","2025-09-24 19:37:57","Switzerland",1758742677,"HB9SLM","GG43PO","LU7DZ","GF11FX",,287,
-9,"FT8","7.075223","2025-09-24 19:43:45","Argentina",1758743025,"LU7DZ","GF05te36","CX4AE","GF07wq","Dipolo",100,
-13,"FT8","7.075178","2025-09-24 19:43:57","Argentina",1758743037,"LU7DZ","GF05te36","LU5DSM","GF05pk49",,100,
0,"FT8","7.075280","2025-09-24 19:43:59","Argentina",1758743039,"LU7DZ","GF05te36","LU7HBL","FF87wh73",,100,
-10,"FT8","7.075209","2025-09-24 19:44:45","Argentina",1758743085,"LU7DZ","GF05te36","CX8BIT","GF15wc","MLA-30+ | Common Mode Choke | Distill AM | HF LPF",100,
-20,"FT8","14.074600","2025-09-24 19:45:44","Argentina",1758743144,"LU7DZ","GF11FX","LU4FQ","FF97PC",,100,
-24,"FT8","7.075207","2025-09-24 19:51:13","Argentina",1758743473,"LU7DZ","GF05te36","LU6DRN","GF14fv44tt",,100,
-11,"FT8","14.075239","2025-09-24 19:52:27","Argentina",1758743547,"LU4FQ","FF97PC","LU7DZ","GF11FX",,100,
-4,"FT8","7.075208","2025-09-24 19:55:14","Argentina",1758743714,"LU7DZ","GF05te36","LU1CEF","GF05sj",,100,
-15,"FT8","14.074607","2025-09-24 19:56:14","Argentina",1758743774,"LU7DZ","GF11FX","CX3VB","GF27wp","Yagi 3 ele",100,
-18,"FT8","14.074616","2025-09-24 19:59:14","Argentina",1758743954,"LU7DZ","GF11FX","LU5EW","GF12fa",,100,
-19,"FT8","7.075208","2025-09-24 19:59:15","Argentina",1758743955,"LU7DZ","GF05te36","LU0970133","GF05tj","End Fed ",100,
-15,"FT8","7.075204","2025-09-24 20:00:15","Argentina",1758744015,"LU7DZ","GF05te36","PP5ZX","GG43no","R-8 vertical",100,
-15,"FT8","7.075203","2025-09-24 20:00:45","Argentina",1758744045,"LU7DZ","GF05te36","LU3HO/M","FF54FM","long wire",100,
1,"FT8","7.075140","2025-09-24 20:00:57","Argentina",1758744057,"LU7DZ","GF05te36","LU1DSP","FF96XM",,100,
-13,"FT8","7.075255","2025-09-24 20:00:58","Argentina",1758744058,"LU7DZ","GF05te36","LU4AVI","GF05tj23",,100,
-19,"FT8","14.074608","2025-09-24 20:03:44","Argentina",1758744224,"LU7DZ","GF11FX","LU2PWY","FF58SJ","Dipole",100,
-6,"FT8","7.075220","2025-09-24 20:05:30","Argentina",1758744330,"LU7DZ","GF05te36","CX4AE","GF07wq","Dipolo",100,
-19,"FT8","7.075229","2025-09-24 20:05:30","Argentina",1758744330,"LU7DZ","GF05te36","LU1XA","FD58jh","MONOPOLE",100,
-18,"FT8","7.075274","2025-09-24 20:06:14","Argentina",1758744374,"LU7DZ","GF05te36","LU7HBL","FF87wh73",,100,
-15,"FT8","14.074677","2025-09-24 20:06:43","Argentina",1758744403,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
-9,"FT8","14.074826","2025-09-24 20:06:57","Uruguay",1758744417,"CX3VB","GF27wp","LU7DZ","GF11FX",,144,
1,"FT8","7.075218","2025-09-24 20:10:13","Argentina",1758744613,"LU7DZ","GF05te36","LU8EX","GF05oo18","Vert MFJ1792 - 3ele Yagi A3",100,
-11,"FT8","7.075164","2025-09-24 20:12:56","Argentina",1758744776,"LU7DZ","GF05te36","LU5DSM","GF05pk49",,100,
-13,"FT8","7.075144","2025-09-24 20:12:59","Argentina",1758744779,"LU7DZ","GF05te36","LW2DJM","GF12EA",,100,
-3,"FT8","7.075206","2025-09-24 20:15:29","Argentina",1758744929,"LU7DZ","GF05te36","CX1LA","GF25ev",,100,
-15,"FT8","14.074607","2025-09-24 20:16:14","Argentina",1758744974,"LU7DZ","GF11FX","CX3VB","GF27wp","Yagi 3 ele",100,
-11,"FT8","7.075204","2025-09-24 20:20:00","Argentina",1758745200,"LU7DZ","GF05te36","PP5ZX","GG43no","R-8 vertical",100,
-4,"FT8","7.075207","2025-09-24 20:20:14","Argentina",1758745214,"LU7DZ","GF05te36","LU1CEF","GF05sj",,100,
-19,"FT8","7.075208","2025-09-24 20:21:30","Argentina",1758745290,"LU7DZ","GF05te36","LU0970133","GF05tj","End Fed ",100,
-18,"FT8","14.074624","2025-09-24 20:25:14","Argentina",1758745514,"LU7DZ","GF11FX","LU5EW","GF12fa",,100,
-1,"FT8","7.075220","2025-09-24 20:27:15","Argentina",1758745635,"LU7DZ","GF05te36","CX4AE","GF07wq","Dipolo",100,
-4,"FT8","7.075271","2025-09-24 20:27:29","Argentina",1758745649,"LU7DZ","GF05te36","LU7HBL","FF87wh73",,100,
-18,"FT8","7.075229","2025-09-24 20:27:45","Argentina",1758745665,"LU7DZ","GF05te36","LU1XA","FD58jh","MONOPOLE",100,
-26,"FT8","7.075203","2025-09-24 20:28:45","Argentina",1758745725,"LU7DZ","GF05te36","DP0GVN","IB59ui60","Horizontal Triangle 250m asl",100,
-16,"FT8","14.074680","2025-09-24 20:29:13","Argentina",1758745753,"LU7DZ","GF11FX","LW2DJM","GF12EA",,100,
2,"FT8","7.075218","2025-09-24 20:29:58","Argentina",1758745798,"LU7DZ","GF05te36","LU8EX","GF05oo18","Vert MFJ1792 - 3ele Yagi A3",100,
-18,"FT8","7.075157","2025-09-24 20:34:44","Argentina",1758746084,"LU7DZ","GF05te36","LU6DDC","GF05ok",,100,
-17,"FT8","7.075208","2025-09-24 20:41:45","Argentina",1758746505,"LU7DZ","GF05te36","LU0970133","GF05tj","End Fed ",100,
-8,"FT8","7.075204","2025-09-24 20:41:45","Argentina",1758746505,"LU7DZ","GF05te36","PP5ZX","GG43no","R-8 vertical",100,
-16,"FT8","7.075003","2025-09-24 20:41:56","Argentina",1758746516,"LU7DZ","GF05te36","LU5DSM","GF05pk49",,100,
-6,"FT8","7.075204","2025-09-24 20:41:58","Argentina",1758746518,"LU7DZ","GF05te36","LW4DCI","GF05qi",,100,
-2,"FT8","7.075207","2025-09-24 20:41:59","Argentina",1758746519,"LU7DZ","GF05te36","LU1CEF","GF05sj",,100,
-17,"FT8","7.075204","2025-09-24 20:42:30","Argentina",1758746550,"LU7DZ","GF05te36","ZS1IS","KF15AT","27 foot ZeroFive vertical",100,
-10,"FT8","7.075213","2025-09-24 20:43:26","Argentina",1758746606,"LU7DZ","GF05te36","V51PJ","JG82IE","Dipole",100,
-14,"FT8","7.075205","2025-09-24 20:44:29","Argentina",1758746669,"LU7DZ","GF05te36","LU7MFB","FF57nc","Dipole",100,
-1,"FT8","7.075204","2025-09-24 20:45:28","Argentina",1758746728,"LU7DZ","GF05te36","CX3VB","GF27wp","Direcctional Dipole",100,
0,"FT8","7.075220","2025-09-24 20:49:00","Argentina",1758746940,"LU7DZ","GF05te36","CX4AE","GF07wq","Dipolo",100,
-15,"FT8","7.075230","2025-09-24 20:49:00","Argentina",1758746940,"LU7DZ","GF05te36","LU1XA","FD58jh","MONOPOLE",100,
-10,"FT8","7.075207","2025-09-24 20:50:44","Argentina",1758747044,"LU7DZ","GF05te36","VP8AIB","GD18bh73",,100,
-28,"FT8","7.075203","2025-09-24 20:56:15","Argentina",1758747375,"LU7DZ","GF05te36","DP0GVN","IB59ui60","Horizontal Triangle 250m asl",100,
-9,"FT8","7.075255","2025-09-24 20:56:28","Argentina",1758747388,"LU7DZ","GF05te36","LU4AVI","GF05tj23",,100,
-12,"FT8","7.075179","2025-09-24 20:56:29","Argentina",1758747389,"LU7DZ","GF05te36","LU6DDC","GF05ok",,100,
-13,"FT8","7.075216","2025-09-24 20:57:58","Argentina",1758747478,"LU7DZ","GF05te36","LW4EIN","GF05pk",,100,
-17,"FT8","7.075208","2025-09-24 21:03:30","Argentina",1758747810,"LU7DZ","GF05te36","LU0970133","GF05tj","End Fed ",100,
-6,"FT8","7.075204","2025-09-24 21:03:30","Argentina",1758747810,"LU7DZ","GF05te36","PP5ZX","GG43no","R-8 vertical",100,
-7,"FT8","7.075212","2025-09-24 21:03:43","Argentina",1758747823,"LU7DZ","GF05te36","LU4JRD","FF98sg",,100,
-2,"FT8","7.075208","2025-09-24 21:03:44","Argentina",1758747824,"LU7DZ","GF05te36","LU1CEF","GF05sj",,100,
-13,"FT8","7.075203","2025-09-24 21:04:00","Argentina",1758747840,"LU7DZ","GF05te36","LU3HO/M","FF54FM","long wire",100,
-23,"FT8","7.075222","2025-09-24 21:06:00","Argentina",1758747960,"LU7DZ","GF05te36","PT9TI/B","GG27ns","5/8 Vertical",100,
-7,"FT8","7.075221","2025-09-24 21:10:45","Argentina",1758748245,"LU7DZ","GF05te36","CX4AE","GF07wq","Dipolo",100,
-12,"FT8","7.075230","2025-09-24 21:10:45","Argentina",1758748245,"LU7DZ","GF05te36","LU1XA","FD58jh","MONOPOLE",100,
-11,"FT8","7.075100","2025-09-24 21:10:56","Argentina",1758748256,"LU7DZ","GF05te36","LU5DSM","GF05pk49",,100,
-8,"FT8","7.075214","2025-09-24 21:10:57","Argentina",1758748257,"LU7DZ","GF05te36","V51PJ","JG82IE","Dipole",100,
-12,"FT8","7.075185","2025-09-24 21:10:59","Argentina",1758748259,"LU7DZ","GF05te36","LU3QDF","FF66ur",,100,
-16,"FT8","7.075222","2025-09-24 21:10:59","Argentina",1758748259,"LU7DZ","GF05te36","LU4DNS","GF15AB",,100,
-9,"FT8","7.075207","2025-09-24 21:10:59","Argentina",1758748259,"LU7DZ","GF05te36","VP8AIB","GD18bh73",,100,
-15,"FT8","7.075204","2025-09-24 21:11:26","Argentina",1758748286,"LU7DZ","GF05te36","ZS1IS","KF15AT","27 foot ZeroFive vertical",100,
-16,"FT8","14.074613","2025-09-24 21:12:56","Argentina",1758748376,"LU7DZ","GF11FX","PY5AMF","GG54RH",,100,
-19,"FT8","7.075203","2025-09-24 21:13:45","Argentina",1758748425,"LU7DZ","GF05te36","ZD7GB","IH74da","No antenna information",100,
-21,"FT8","7.075210","2025-09-24 21:14:29","Argentina",1758748469,"LU7DZ","GF05te36","PY2RAR","GG67fo",,100,
10,"FT8","7.075197","2025-09-24 21:15:26","Argentina",1758748526,"LU7DZ","GF05te36","LU7DUE","GF05OO",,100,
-26,"FT8","7.075203","2025-09-24 21:18:00","Argentina",1758748680,"LU7DZ","GF05te36","DP0GVN","IB59ui60","Horizontal Triangle 250m asl",100,
-7,"FT8","7.075228","2025-09-24 21:18:13","Argentina",1758748693,"LU7DZ","GF05te36","LW4EIN","GF05pk",,100,
0,"FT8","7.075219","2025-09-24 21:18:13","Argentina",1758748693,"LU7DZ","GF05te36","LU8EX","GF05oo18","Vert MFJ1792 - 3ele Yagi A3",100,
-15,"FT8","7.075215","2025-09-24 21:18:30","Argentina",1758748710,"LU7DZ","GF05te36","PY2TB","GG76eo",10,100,
-10,"FT8","7.075206","2025-09-24 21:18:30","Argentina",1758748710,"LU7DZ","GF05te36","CX8BIT","GF15wc","MLA-30+ | Common Mode Choke | Distill AM | HF LPF",100,
-8,"FT8","7.075185","2025-09-24 21:19:14","Argentina",1758748754,"LU7DZ","GF05te36","LU6DDC","GF05ok",,100,
-3,"FT8","7.075205","2025-09-24 21:25:15","Argentina",1758749115,"LU7DZ","GF05te36","PP5ZX","GG43no","R-8 vertical",100,
-17,"FT8","7.075209","2025-09-24 21:25:15","Argentina",1758749115,"LU7DZ","GF05te36","LU0970133","GF05tj","End Fed ",100,
-4,"FT8","7.075212","2025-09-24 21:25:28","Argentina",1758749128,"LU7DZ","GF05te36","LU4JRD","FF98sg",,100,
-6,"FT8","7.075208","2025-09-24 21:25:29","Argentina",1758749129,"LU7DZ","GF05te36","LU1CEF","GF05sj",,100,
-8,"FT8","7.075220","2025-09-24 21:30:45","Argentina",1758749445,"LU7DZ","GF05te36","CX4AE","GF07wq","Dipolo",100,
-11,"FT8","7.075229","2025-09-24 21:30:45","Argentina",1758749445,"LU7DZ","GF05te36","LU1XA","FD58jh","MONOPOLE",100,
-5,"FT8","7.075185","2025-09-24 21:30:59","Argentina",1758749459,"LU7DZ","GF05te36","LU3QDF","FF66ur",,100,
-19,"FT8","7.075108","2025-09-24 21:30:59","Argentina",1758749459,"LU7DZ","GF05te36","LU5DSM","GF05pk49",,100,
-7,"FT8","7.075207","2025-09-24 21:30:59","Argentina",1758749459,"LU7DZ","GF05te36","VP8AIB","GD18bh73",,100,
-23,"FT8","7.075210","2025-09-24 21:34:59","Argentina",1758749699,"LU7DZ","GF05te36","PY2RAR","GG67fo",,100,
-15,"FT8","7.075206","2025-09-24 21:35:15","Argentina",1758749715,"LU7DZ","GF05te36","DS3PIC","PM36og","WINDOM",100,
-18,"FT8","7.075203","2025-09-24 21:36:15","Argentina",1758749775,"LU7DZ","GF05te36","ZD7GB","IH74da","No antenna information",100,
-13,"FT8","7.075205","2025-09-24 21:36:26","Argentina",1758749786,"LU7DZ","GF05te36","ZS1IS","KF15AT","27 foot ZeroFive vertical",100,
